entry_dt,exit_dt,direction,entry_z,exit_z,hours_held,gross_pct,net_pct,exit_reason,year_month,hold_bin
2025-10-06 12:00:00,2025-10-07 23:00:00,long,-2.5207908473995913,-0.4918680739604714,23,0.2875,0.2788,z_revert,2025-10,12-24h
2025-10-08 18:00:00,2025-10-09 19:00:00,long,-2.68526189604937,-2.653885649948512,24,-0.2781,-0.2868,timeout,2025-10,12-24h
2025-10-09 20:00:00,2025-10-10 16:00:00,long,-2.5685545111199413,0.10473797104702459,19,0.6665,0.6578,z_revert,2025-10,12-24h
2025-10-27 08:00:00,2025-10-28 09:00:00,long,-2.504995673356577,-2.2669966138124904,24,-0.2848,-0.2935,timeout,2025-10,12-24h
2025-10-28 13:00:00,2025-10-29 14:00:00,long,-2.828404031123533,-2.441821662360552,24,-0.3608,-0.3695,timeout,2025-10,12-24h
2025-10-29 19:00:00,2025-10-30 20:00:00,long,-2.659656501843528,-1.98547692410316,24,0.0068,-0.0019,timeout,2025-10,12-24h
2025-11-07 15:00:00,2025-11-10 16:00:00,short,2.6004257182088417,1.0568131987323024,24,0.8182,0.8095,timeout,2025-11,12-24h
2025-11-20 20:00:00,2025-11-21 21:00:00,short,2.7705346820347176,2.5367809536679817,24,-0.4046,-0.4133,timeout,2025-11,12-24h
2025-12-12 15:00:00,2025-12-15 16:00:00,short,2.621894483529684,2.3791000950155574,24,-0.1777,-0.1864,timeout,2025-12,12-24h
2025-12-15 17:00:00,2025-12-16 15:00:00,short,2.502984852109052,0.185543062871014,21,0.9827,0.974,z_revert,2025-12,12-24h
2025-12-16 20:00:00,2025-12-17 01:00:00,short,2.527291199277354,-0.13572461728353585,4,1.6975,1.6888,z_revert,2025-12,0-6h
2026-01-14 16:00:00,2026-01-15 09:00:00,short,2.663100796283325,0.01677608460914888,16,0.5091,0.5004,z_revert,2026-01,12-24h
2026-01-19 04:00:00,2026-01-21 05:00:00,short,2.5517366847647125,1.131793098921816,24,0.2712,0.2625,timeout,2026-01,12-24h
2026-01-27 21:00:00,2026-01-28 23:00:00,long,-2.6501837352295166,-2.4681632854229756,24,-0.4233,-0.432,timeout,2026-01,12-24h
2026-02-04 14:00:00,2026-02-05 15:00:00,short,2.8288509800876716,2.507195608593808,24,-0.6353,-0.644,timeout,2026-02,12-24h
2026-02-05 21:00:00,2026-02-08 23:00:00,short,2.753813723308193,1.4156550144893016,24,0.7489,0.7402,timeout,2026-02,12-24h
2026-02-25 14:00:00,2026-02-26 15:00:00,long,-4.219212188926926,0.09338416195762694,24,0.8372,0.8285,z_revert,2026-02,12-24h
2026-03-04 15:00:00,2026-03-05 16:00:00,long,-2.8989073318322536,-2.8799829267147268,24,-0.3795,-0.3882,timeout,2026-03,12-24h
2026-03-05 20:00:00,2026-03-06 21:00:00,long,-2.646536026807358,-1.4691316325455672,24,0.1756,0.1669,timeout,2026-03,12-24h
2026-03-24 17:00:00,2026-03-25 18:00:00,short,2.5517168208525485,1.563786247267812,24,0.1328,0.1241,timeout,2026-03,12-24h
2026-03-26 14:00:00,2026-03-27 15:00:00,short,2.6529551316064994,2.6576995005635813,24,-0.4365,-0.4452,timeout,2026-03,12-24h
2026-03-27 16:00:00,2026-03-30 17:00:00,short,2.807804443610207,2.459788083098094,24,-0.3052,-0.3139,timeout,2026-03,12-24h
2026-03-30 18:00:00,2026-03-31 19:00:00,short,2.6140463446267614,1.1046237836036443,24,0.5069,0.4982,timeout,2026-03,12-24h
2026-04-15 19:00:00,2026-04-16 20:00:00,long,-2.7533775532929687,-2.0475970039610942,24,-0.1233,-0.132,timeout,2026-04,12-24h
